"","MU","CU_Name","CU","yr","BroodYear","Escp","CU_ID"
"1","IF Coho","Middle_Fraser",2,1998,1995,4851,0
"2","IF Coho","Middle_Fraser",2,1999,1996,1652,0
"3","IF Coho","Middle_Fraser",2,2000,1997,3920,0
"4","IF Coho","Middle_Fraser",2,2001,1998,6162,0
"5","IF Coho","Middle_Fraser",2,2002,1999,4170,0
"6","IF Coho","Middle_Fraser",2,2003,2000,3809,0
"7","IF Coho","Middle_Fraser",2,2004,2001,4760,0
"8","IF Coho","Middle_Fraser",2,2005,2002,2189,0
"9","IF Coho","Middle_Fraser",2,2006,2003,1301,0
"10","IF Coho","Middle_Fraser",2,2007,2004,9958,0
"11","IF Coho","Middle_Fraser",2,2008,2005,1464,0
"12","IF Coho","Middle_Fraser",2,2009,2006,2306,0
"13","IF Coho","Middle_Fraser",2,2010,2007,4689,0
"14","IF Coho","Middle_Fraser",2,2011,2008,3920,0
"15","IF Coho","Middle_Fraser",2,2012,2009,7126,0
"16","IF Coho","Middle_Fraser",2,2013,2010,11625,0
"17","IF Coho","Middle_Fraser",2,2014,2011,3081,0
"18","IF Coho","Middle_Fraser",2,2015,2012,1354,0
"19","IF Coho","Fraser_Canyon",1,1998,1995,5460,1
"20","IF Coho","Fraser_Canyon",1,1999,1996,4096,1
"21","IF Coho","Fraser_Canyon",1,2000,1997,2719,1
"22","IF Coho","Fraser_Canyon",1,2001,1998,5971,1
"23","IF Coho","Fraser_Canyon",1,2002,1999,3817,1
"24","IF Coho","Fraser_Canyon",1,2003,2000,4552,1
"25","IF Coho","Fraser_Canyon",1,2004,2001,5872,1
"26","IF Coho","Fraser_Canyon",1,2005,2002,2269,1
"27","IF Coho","Fraser_Canyon",1,2006,2003,1605,1
"28","IF Coho","Fraser_Canyon",1,2007,2004,2739,1
"29","IF Coho","Fraser_Canyon",1,2008,2005,1138,1
"30","IF Coho","Fraser_Canyon",1,2009,2006,2308,1
"31","IF Coho","Fraser_Canyon",1,2010,2007,2227,1
"32","IF Coho","Fraser_Canyon",1,2011,2008,3189,1
"33","IF Coho","Fraser_Canyon",1,2012,2009,5134,1
"34","IF Coho","Fraser_Canyon",1,2013,2010,5398,1
"35","IF Coho","Fraser_Canyon",1,2014,2011,1048,1
"36","IF Coho","Fraser_Canyon",1,2015,2012,352,1
"37","IF Coho","Lower_Thompson",3,1998,1995,2165,2
"38","IF Coho","Lower_Thompson",3,1999,1996,3992,2
"39","IF Coho","Lower_Thompson",3,2000,1997,4739,2
"40","IF Coho","Lower_Thompson",3,2001,1998,9522,2
"41","IF Coho","Lower_Thompson",3,2002,1999,16053,2
"42","IF Coho","Lower_Thompson",3,2003,2000,2933,2
"43","IF Coho","Lower_Thompson",3,2004,2001,4304,2
"44","IF Coho","Lower_Thompson",3,2005,2002,2614,2
"45","IF Coho","Lower_Thompson",3,2006,2003,1082,2
"46","IF Coho","Lower_Thompson",3,2007,2004,10169,2
"47","IF Coho","Lower_Thompson",3,2008,2005,3800,2
"48","IF Coho","Lower_Thompson",3,2009,2006,4768,2
"49","IF Coho","Lower_Thompson",3,2010,2007,12217,2
"50","IF Coho","Lower_Thompson",3,2011,2008,7289,2
"51","IF Coho","Lower_Thompson",3,2012,2009,11559,2
"52","IF Coho","Lower_Thompson",3,2013,2010,11887,2
"53","IF Coho","Lower_Thompson",3,2014,2011,7447,2
"54","IF Coho","Lower_Thompson",3,2015,2012,5182,2
"55","IF Coho","North_Thompson",4,1998,1995,9786,3
"56","IF Coho","North_Thompson",4,1999,1996,10696,3
"57","IF Coho","North_Thompson",4,2000,1997,8054,3
"58","IF Coho","North_Thompson",4,2001,1998,27238,3
"59","IF Coho","North_Thompson",4,2002,1999,22083,3
"60","IF Coho","North_Thompson",4,2003,2000,7211,3
"61","IF Coho","North_Thompson",4,2004,2001,10661,3
"62","IF Coho","North_Thompson",4,2005,2002,4518,3
"63","IF Coho","North_Thompson",4,2006,2003,3670,3
"64","IF Coho","North_Thompson",4,2007,2004,24500,3
"65","IF Coho","North_Thompson",4,2008,2005,3849,3
"66","IF Coho","North_Thompson",4,2009,2006,9631,3
"67","IF Coho","North_Thompson",4,2010,2007,12159,3
"68","IF Coho","North_Thompson",4,2011,2008,8803,3
"69","IF Coho","North_Thompson",4,2012,2009,20058,3
"70","IF Coho","North_Thompson",4,2013,2010,16271,3
"71","IF Coho","North_Thompson",4,2014,2011,5244,3
"72","IF Coho","North_Thompson",4,2015,2012,3178,3
"73","IF Coho","South_Thompson",5,1998,1995,5155,4
"74","IF Coho","South_Thompson",5,1999,1996,3137,4
"75","IF Coho","South_Thompson",5,2000,1997,3307,4
"76","IF Coho","South_Thompson",5,2001,1998,13063,4
"77","IF Coho","South_Thompson",5,2002,1999,10544,4
"78","IF Coho","South_Thompson",5,2003,2000,3422,4
"79","IF Coho","South_Thompson",5,2004,2001,15850,4
"80","IF Coho","South_Thompson",5,2005,2002,2302,4
"81","IF Coho","South_Thompson",5,2006,2003,2003,4
"82","IF Coho","South_Thompson",5,2007,2004,12345,4
"83","IF Coho","South_Thompson",5,2008,2005,6688,4
"84","IF Coho","South_Thompson",5,2009,2006,3821,4
"85","IF Coho","South_Thompson",5,2010,2007,8946,4
"86","IF Coho","South_Thompson",5,2011,2008,4771,4
"87","IF Coho","South_Thompson",5,2012,2009,13303,4
"88","IF Coho","South_Thompson",5,2013,2010,13132,4
"89","IF Coho","South_Thompson",5,2014,2011,2270,4
"90","IF Coho","South_Thompson",5,2015,2012,2392,4
