Stock.noHyphens,Stock,PNI,n,startYr,endYr,Enh
San.Juan,San Juan,0.49,6,2004,2017,1
Nahmint,Nahmint,0.54,15,1999,2017,0
Sarita,Sarita,0.13,19,1997,2017,1
Bedwell.Ursus,Bedwell/Ursus,0.64,4,2015,2018,0
Megin,Megin,NA,NA,NA,NA,0
Moyeha,Moyeha,NA,NA,NA,NA,0
Tranquil,Tranquil,NA,NA,NA,NA,1
Burman,Burman,0.25,14,2004,2017,1
Gold,Gold,0.52,9,2004,2017,1
Leiner,Leiner,0.48,7,2009,2017,1
Tahsis,Tahsis,0.58,11,2004,2017,0
Zeballos,Zeballos,0.13,4,2002,2007,0
Artlish,Artlish,0.46,1,2015,2015,0
Kaouk,Kaouk,NA,NA,NA,NA,0
Tahsish,Tahsish,NA,NA,NA,NA,0
Cayeghle,Cayeghle,NA,NA,NA,NA,0
Marble,Marble,0.85,7,2005,2016,0
Somass,Somass,0.01,21,1997,2017,1
Conuma,Conuma,0.07,20,1997,2017,1
Nitinat,Nitinat,0.09,13,1997,2017,1
