Invetory of Sites in SR,,,,,
,Liermann et al name,Liermann n,,Parken et al. name,Parken n
Stream,Andrew Cr,24,,Andrew,24
,Blossom,22,,Blossom,22
,Chena,10,,Chena,10
,Chickamin,22,,Chickamin,22
,Keta,22,,Keta,22
,KSR,21,,King Salmon,21
,Kitsumkalum,14,,Kitsumkalum,14
,Klukshu,16,,Klukshu,16
,Salcha,9,,Salcha,9
,Stikine,22,,Stikine,22
,Taku,19,,Taku,19
,Columbia Sp,31,,U. Columbia- Sp.,31
,Unuk,22,,Unuk,22
,,,,,
,,,,,
Ocean,Chehalis,20,,Chehalis,20
,Cowichan,19,,Cowichan,15
,Harrison,15,,Harrison,15
,Humptulips,19,,Humptulips,19
,Lewis,28,,Lewis R. Falls,28
,Niehalem,25,,Nehalem,25
,Queets,19,,Queets,19
,Quillayute,11,,Quillayute,11
,Siletz,25,,Siletz,25
,Situk,18,,Situk,18
,Siuslaw,27,,Siuslaw,27
,Skagit,28,,Skagit,28
,Hoko,6,,,
,Hoh,18,,,
