CU,Stock,WA,lh,SA,SA_ind,Inlet,highEnh,CoreInd
Southwest Vancouver Island,CHARTERS RIVER,2.4,1,20,0,San Juan,0,0
Southwest Vancouver Island,DE MAMIEL CREEK,35.7,1,20,0,San Juan,0,0
Port San Juan,GORDON RIVER,46.7,1,20,0,San Juan,0,0
Port San Juan,HARRIS CREEK,40,1,20,0,San Juan,0,0
Port San Juan,LENS CREEK,10,1,20,0,San Juan,0,0
Port San Juan,SAN JUAN RIVER,330,1,20,0,San Juan,0,1
Southwest Vancouver Island,CAMPUS CREEK,6.4,1,22,0,San Juan,0,0
Southwest Vancouver Island,NITINAT RIVER,357,1,22,1,Nitinat,1,0
Southwest Vancouver Island,NITINAT RIVER(upper),111.51,1,22,1,Nitinat,0,1
Southwest Vancouver Island,EFFINGHAM RIVER,18.4,1,23,2,Barkley,0,0
Southwest Vancouver Island,CLEMENS CREEK,17,1,23,2,Barkley,0,0
Southwest Vancouver Island,MERCANTILE CREEK,13,1,23,2,Barkley,0,0
Southwest Vancouver Island,NAHMINT RIVER,42,1,23,2,Barkley,0,1
Southwest Vancouver Island,SARITA RIVER,84,1,23,2,Barkley,0,1
Southwest Vancouver Island,SOMASS SYSTEM,1057,1,23,2,Barkley,1,1
Southwest Vancouver Island,THORNTON CREEK,2,1,23,2,Barkley,0,0
Southwest Vancouver Island,TOQUART RIVER,56,1,23,2,Barkley,0,0
Southwest Vancouver Island,BEDWELL/URSUS,99.36,1,24,3,Clayoquot,0,1
Southwest Vancouver Island,CYPRE RIVER,39,1,24,3,Clayoquot,0,0
Southwest Vancouver Island,ICE RIVER,13,1,24,3,Clayoquot,0,0
Southwest Vancouver Island,KENNEDY RIVER (LOWER),248,1,24,3,Clayoquot,0,0
Southwest Vancouver Island,MEGIN RIVER,245,1,24,3,Clayoquot,0,1
Southwest Vancouver Island,MOYEHA RIVER,116,1,24,3,Clayoquot,0,1
Southwest Vancouver Island,SYDNEY RIVER,14,1,24,3,Clayoquot,0,0
Southwest Vancouver Island,TOFINO CREEK,10,1,24,3,Clayoquot,0,0
Southwest Vancouver Island,TRANQUIL CREEK,12,1,24,3,Clayoquot,0,1
Southwest Vancouver Island,WATTA CREEK,22,1,24,3,Clayoquot,0,0
Nootka and Kyuquot,BURMAN RIVER,69.89,1,25,4,Nootka/Esperanza,0,1
Nootka and Kyuquot,CANTON CREEK,10,1,25,4,Nootka/Esperanza,0,0
Nootka and Kyuquot,CONUMA RIVER,19.71,1,25,4,Nootka/Esperanza,1,1
Nootka and Kyuquot,DESERTED CREEK,6,1,25,4,Nootka/Esperanza,0,0
Nootka and Kyuquot,ESPINOSA CREEK,4.7,1,25,4,Nootka/Esperanza,0,0
Nootka and Kyuquot,Gold River Aggregate,856.34,1,25,4,Nootka/Esperanza,0,1
Nootka and Kyuquot,KLEEPTEE CREEK,14,1,25,4,Nootka/Esperanza,0,0
Nootka and Kyuquot,LEINER RIVER,109,1,25,4,Nootka/Esperanza,0,1
Nootka and Kyuquot,LITTLE ZEBALLOS RIVER,43,1,25,4,Nootka/Esperanza,0,0
Nootka and Kyuquot,MOOYAH RIVER,7.7,1,25,4,Nootka/Esperanza,0,0
Nootka and Kyuquot,PARK RIVER,10,1,25,4,Nootka/Esperanza,0,0
Nootka and Kyuquot,SUCWOA RIVER,25,1,25,4,Nootka/Esperanza,0,0
Nootka and Kyuquot,TAHSIS RIVER,77,1,25,4,Nootka/Esperanza,0,1
Nootka and Kyuquot,TLUPANA RIVER,20,1,25,4,Nootka/Esperanza,0,0
Nootka and Kyuquot,TSOWWIN RIVER,26,1,25,4,Nootka/Esperanza,0,0
Nootka and Kyuquot,ZEBALLOS RIVER,194,1,25,4,Nootka/Esperanza,0,1
Nootka and Kyuquot,ZEBALLOS RIVER*,3.7,1,25,4,Nootka/Esperanza,0,0
Nootka and Kyuquot,ARTLISH RIVER,63.55,1,26,5,Kyuquot,0,1
Nootka and Kyuquot,EASY CREEK,12,1,26,5,Kyuquot,0,0
Nootka and Kyuquot,KAOUK RIVER,101,1,26,5,Kyuquot,0,1
Nootka and Kyuquot,KAUWINCH RIVER,44,1,26,5,Kyuquot,0,0
Nootka and Kyuquot,MALKSOPE RIVER,20,1,26,5,Kyuquot,0,0
Nootka and Kyuquot,MCKAY COVE CREEK,1.4,1,26,5,Kyuquot,0,0
Nootka and Kyuquot,NARROWGUT CREEK,16.5,1,26,5,Kyuquot,0,0
Nootka and Kyuquot,OUOUKINSH RIVER,16.7,1,26,5,Kyuquot,0,0
Nootka and Kyuquot,TAHSISH RIVER,172,1,26,5,Kyuquot,0,1
Northwest Vancouver Island,COLONIAL/CAYEGHLE CREEKS,49,1,27,6,Quatsino,0,1
Northwest Vancouver Island,MARBLE RIVER,167,1,27,6,Quatsino,0,1
