"","SiteEsc","Year"
"1",NA,1953
"2",NA,1954
"3",NA,1955
"4",NA,1956
"5",NA,1957
"6",NA,1958
"7",NA,1959
"8",NA,1960
"9",NA,1961
"10",NA,1962
"11",NA,1963
"12",NA,1964
"13",NA,1965
"14",NA,1966
"15",NA,1967
"16",NA,1968
"17",NA,1969
"18",NA,1970
"19",NA,1971
"20",NA,1972
"21",NA,1973
"22",NA,1974
"23",NA,1975
"24",NA,1976
"25",NA,1977
"26",NA,1978
"27",NA,1979
"28",NA,1980
"29",NA,1981
"30",NA,1982
"31",NA,1983
"32",NA,1984
"33",NA,1985
"34",NA,1986
"35",NA,1987
"36",NA,1988
"37",NA,1989
"38",NA,1990
"39",NA,1991
"40",NA,1992
"41",NA,1993
"42",NA,1994
"43",3747,1995
"44",6132,1996
"45",5491,1997
"46",9635,1998
"47",9718,1999
"48",5068,2000
"49",NA,2001
"50",4123,2002
"51",4937,2003
"52",8852,2004
"53",NA,2005
"54",5013,2006
"55",3984,2007
"56",3876,2008
"57",5913,2009
"58",5754,2010
"59",6033,2011
"60",NA,2012
"61",4567,2013
"62",3003,2014
"63",NA,2015
"64",5060,2016
"65",9962,2017
"66",5113,2018
"67",9561,2019
"68",5686,2020
