"","Stock","SGEN","SMSY","SMSYLL","SMSYUL","SREP","SREPLL","SREPUL","a.par"
"1","Artlish",188,422,167,672,975,467,2036,2.72
"2","Bedwell/Ursus",296,664,274,1018,1534,768,3066,2.72
"3","Burman",207,465,185,734,1074,520,2220,2.72
"4","Cayeghle",146,327,126,533,756,353,1620,2.72
"5","Conuma",58,129,44,230,298,125,708,2.72
"6","Gold",2629,5890,2806,8154,13607,7750,23892,2.72
"7","Kaouk",300,672,278,1029,1552,777,3099,2.72
"8","Leiner",326,731,305,1113,1689,852,3346,2.72
"9","Marble",503,1127,488,1665,2604,1363,4976,2.72
"10","Megin",741,1660,741,2395,3834,2064,7123,2.72
"11","Moyeha",346,775,325,1174,1790,908,3528,2.72
"12","Nahmint",123,276,104,456,637,292,1390,2.72
"13","Nitinat",1082,2424,1110,3436,5601,3085,10169,2.72
"14","San Juan",1875,4202,1979,5849,9707,5479,17201,2.72
"15","Sarita",251,562,228,873,1298,639,2634,2.72
"16","Somass",3253,7289,3491,10080,16840,9623,29470,2.72
"17","Tahsis",229,513,206,802,1184,578,2424,2.72
"18","Tahsish",517,1158,503,1707,2675,1403,5100,2.72
"19","Tranquil",35,79,26,149,183,73,462,2.72
"20","Zeballos",583,1307,573,1913,3020,1598,5705,2.72
"21","Barkley",3646,8171,3921,11299,18876,10797,32999,2.72
"22","Clayoquot",1439,3225,1500,4522,7450,4162,13338,2.72
"23","Kyuquot",1018,2282,1041,3243,5273,2895,9606,2.72
"24","Nootka/Esperanza",4094,9174,4409,12695,21193,12128,37033,2.72
"25","Quatsino",654,1465,648,2129,3384,1806,6342,2.72
"26","WCVI Nootka & Kyuquot",5147,11533,5550,16006,26643,15235,46595,2.72
"27","WCVI North",654,1465,648,2129,3384,1806,6342,2.72
"28","WCVI South",8180,18331,8790,25754,42349,24014,74684,2.72
